t,f_total,survival_before,survival_after
1,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000002e+00
3,1.0376530218265127e-06,1.0000000000000002e+00,9.9999896234697849e-01
4,6.2612283484580065e-05,9.9999896234697849e-01,9.9993635006349391e-01
5,6.1763046269340126e-04,9.9993635006349391e-01,9.9931871960080065e-01
6,2.3196326817421769e-03,9.9931871960080065e-01,9.9699908691905859e-01
7,4.5477646953245472e-03,9.9699908691905859e-01,9.9245132222373400e-01
8,6.9067248223714205e-03,9.9245132222373400e-01,9.8554459740136280e-01
9,9.1440699852400366e-03,9.8554459740136280e-01,9.7640052741612282e-01
10,1.1137995793291292e-02,9.7640052741612282e-01,9.6526253162283138e-01
11,1.2843080196889973e-02,9.6526253162283138e-01,9.5241945142594164e-01
12,1.4257043025625861e-02,9.5241945142594164e-01,9.3816240840031573e-01
13,1.5399292949595926e-02,9.3816240840031573e-01,9.2276311545071998e-01
14,1.6298670662297371e-02,9.2276311545071998e-01,9.0646444478842259e-01
15,1.6986659936339916e-02,9.0646444478842259e-01,8.8947778485208273e-01
16,1.7493855951800287e-02,8.8947778485208273e-01,8.7198392890028253e-01
17,1.7848287333825867e-02,8.7198392890028253e-01,8.5413564156645672e-01
18,1.8074769207936173e-02,8.5413564156645672e-01,8.3606087235852056e-01
19,1.8194807879388632e-02,8.3606087235852056e-01,8.1786606447913202e-01
20,1.8226783480726858e-02,8.1786606447913202e-01,7.9963928099840520e-01
21,1.8186256880262115e-02,7.9963928099840520e-01,7.8145302411814321e-01
22,1.8086316711170520e-02,7.8145302411814321e-01,7.6336670740697277e-01
23,1.7937922304740082e-02,7.6336670740697277e-01,7.4542878510223265e-01
24,1.7750220970038248e-02,7.4542878510223265e-01,7.2767856413219434e-01
25,1.7530830698560384e-02,7.2767856413219434e-01,7.1014773343363402e-01
26,1.7286086223701397e-02,7.1014773343363402e-01,6.9286164720993271e-01
27,1.7021249901498430e-02,6.9286164720993271e-01,6.7584039730843437e-01
28,1.6740690538902737e-02,6.7584039730843437e-01,6.5909970676953156e-01
29,1.6448033913369665e-02,6.5909970676953156e-01,6.4265167285616198e-01
30,1.6146288784972589e-02,6.4265167285616198e-01,6.2650538407118939e-01
31,1.5837951975986309e-02,6.2650538407118939e-01,6.1066743209520302e-01
32,1.5525095739386428e-02,6.1066743209520302e-01,5.9514233635581659e-01
33,1.5209440243576964e-02,5.9514233635581659e-01,5.7993289611223975e-01
34,1.4892413612036449e-02,5.7993289611223975e-01,5.6504048250020333e-01
35,1.4575201596368496e-02,5.6504048250020333e-01,5.5046528090383484e-01
36,1.4258788639200010e-02,5.5046528090383484e-01,5.3620649226463479e-01
37,1.3943991801961587e-02,5.3620649226463479e-01,5.2226250046267331e-01
38,1.3631488790438418e-02,5.2226250046267331e-01,5.0863101167223490e-01
39,1.3321841104854057e-02,5.0863101167223490e-01,4.9530917056738077e-01
40,1.3015513167152467e-02,4.9530917056738077e-01,4.8229365740022839e-01
41,1.2712888131953808e-02,4.8229365740022839e-01,4.6958076926827463e-01
42,1.2414280965448287e-02,4.6958076926827463e-01,4.5716648830282636e-01
43,1.2119949274682178e-02,4.5716648830282636e-01,4.4504653902814417e-01
44,1.1830102285109674e-02,4.4504653902814417e-01,4.3321643674303445e-01
45,1.1544908294176651e-02,4.3321643674303445e-01,4.2167152844885780e-01
46,1.1264500870698937e-02,4.2167152844885780e-01,4.1040702757815894e-01
47,1.0988984021884312e-02,4.1040702757815894e-01,3.9941804355627464e-01
48,1.0718436510322048e-02,3.9941804355627464e-01,3.8869960704595252e-01
49,1.0452915470695611e-02,3.8869960704595252e-01,3.7824669157525698e-01
50,1.0192459449166616e-02,3.7824669157525698e-01,3.6805423212609040e-01
51,9.9370909663319008e-03,3.6805423212609040e-01,3.5811714115975851e-01
52,9.6868186865403036e-03,3.5811714115975851e-01,3.4843032247321820e-01
53,9.4416392614812602e-03,3.4843032247321820e-01,3.3898868321173697e-01
54,9.2015389037523460e-03,3.3898868321173697e-01,3.2978714430798461e-01
55,8.9664947361044883e-03,3.2978714430798461e-01,3.2082064957188017e-01
56,8.7364759538610288e-03,3.2082064957188017e-01,3.1208417361801916e-01
57,8.5114448312878684e-03,3.1208417361801916e-01,3.0357272878673131e-01
58,8.2913575971907544e-03,3.0357272878673131e-01,2.9528137118954056e-01
59,8.0761652005136454e-03,2.9528137118954056e-01,2.8720520598902693e-01
60,7.8658139830287428e-03,2.8720520598902693e-01,2.7933939200599822e-01
61,7.6602462731963934e-03,2.7933939200599822e-01,2.7167914573280183e-01
62,7.4594009128098812e-03,2.7167914573280183e-01,2.6421974481999194e-01
63,7.2632137260262618e-03,2.6421974481999194e-01,2.5695653109396566e-01
64,7.0716179387380878e-03,2.5695653109396566e-01,2.4988491315522759e-01
65,6.8845445548948066e-03,2.4988491315522759e-01,2.4300036860033281e-01
66,6.7019226952818312e-03,2.4300036860033281e-01,2.3629844590505100e-01
67,6.5236799033647269e-03,2.3629844590505100e-01,2.2977476600168628e-01
68,6.3497424220688367e-03,2.2977476600168628e-01,2.2342502357961744e-01
69,6.1800354447606046e-03,2.2342502357961744e-01,2.1724498813485682e-01
70,6.0144833432015689e-03,2.1724498813485682e-01,2.1123050479165528e-01
71,5.8530098748390122e-03,2.1123050479165528e-01,2.0537749491681628e-01
72,5.6955383714624060e-03,2.0537749491681628e-01,1.9968195654535387e-01
73,5.5419919109786211e-03,1.9968195654535387e-01,1.9413996463437527e-01
74,5.3922934738303155e-03,1.9413996463437527e-01,1.8874767116054492e-01
75,5.2463660853924558e-03,1.8874767116054492e-01,1.8350130507515250e-01
76,5.1041329455238449e-03,1.8350130507515250e-01,1.7839717212962863e-01
77,4.9655175463184237e-03,1.7839717212962863e-01,1.7343165458331022e-01
