t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,7.4104938271604909e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4104938271604909e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,5.4343621399176945e-03,0.0000000000000000e+00,0.0000000000000000e+00,2.6537801783264739e-03,2.4240548696844986e-03,3.5652709190672153e-04,0.0000000000000000e+00,0.0000000000000000e+00
4,1.0926946517108672e-02,0.0000000000000000e+00,1.2535918426116442e-03,4.9160886694101496e-03,3.8546763195397042e-03,8.5511060585276625e-04,4.7479079694406338e-05,0.0000000000000000e+00
5,1.5076228353068056e-02,1.6718512350399661e-04,2.4032667999212519e-03,6.1882751765026719e-03,4.7989978413504565e-03,1.3656998527159648e-03,1.4737385619284407e-04,5.4297028808701232e-06
6,1.7912942307358452e-02,4.6334118769058446e-04,3.1978257582829829e-03,6.7498756034456838e-03,5.3576891525439043e-03,1.8345500317191502e-03,2.8974422810278881e-04,1.9916345573359002e-05
7,1.9821373000967007e-02,8.0281687258135920e-04,3.7102517195513659e-03,6.9102796067429910e-03,5.6567281365916188e-03,2.2391311510669911e-03,4.5839390680511708e-04,4.3771607627565069e-05
8,2.1102391501220046e-02,1.1257889622443365e-03,4.0375392081765720e-03,6.8670391430111230e-03,5.7880883086241369e-03,2.5720808259999477e-03,6.3684625943986526e-04,7.5008793724065881e-05
9,2.1947777624681052e-02,1.4038538047591066e-03,4.2463265751536234e-03,6.7285656351421252e-03,5.8121782917619769e-03,2.8346243360604512e-03,8.1154173268169183e-04,1.1068724912207440e-04
10,2.2477293340229590e-02,1.6288573047643768e-03,4.3766517748352052e-03,6.5503498253250362e-03,5.7679539766292420e-03,3.0327280934286183e-03,9.7288244031262208e-04,1.4786992493449246e-04
11,2.2768779712987144e-02,1.8028508126809980e-03,4.4521716402030065e-03,6.3594050249713551e-03,5.6806351197102173e-03,3.1745434626507547e-03,1.1150475732362012e-03,1.8412607953460791e-04
12,2.2875917972818464e-02,1.9320079562801188e-03,4.4873803468458949e-03,6.1681246648586504e-03,5.5666478659212194e-03,3.2687755289094876e-03,1.2352789201541723e-03,2.1770268984892200e-04
13,2.2837919688817609e-02,2.0235209706737983e-03,4.4917400387803914e-03,5.9816484110525973e-03,5.4367189985382964e-03,3.3237407396749124e-03,1.3330471144041404e-03,2.4750341569347367e-04
14,2.2684777876875811e-02,2.0842181498843394e-03,4.4718829211616894e-03,5.8016583606021544e-03,5.2978442575584428e-03,3.3468980959247717e-03,1.4092978005378351e-03,2.7297829120657925e-04
15,2.2440194611630149e-02,2.1200586120875531e-03,4.4327613696771928e-03,5.6282927233035438e-03,5.1545660293320743e-03,3.3446775058038011e-03,1.4658507007299505e-03,2.9398767069603257e-04
16,2.2123298707492633e-02,2.1360341488696030e-03,4.3782537361424347e-03,5.4610857345741125e-03,5.0098141249712664e-03,3.3224778947576407e-03,1.5049591472846094e-03,3.1067392089296678e-04
17,2.1749721993624647e-02,2.1362396099902756e-03,4.3114942110229889e-03,5.2994103354574032e-03,4.8654622567069804e-03,3.2847515013522078e-03,1.5290089619383715e-03,3.2335511715641965e-04
18,2.1332323638213108e-02,2.1239989014801468e-03,4.2350630928081221e-03,5.1426708511111922e-03,4.7226962480016593e-03,3.2351236891701271e-03,1.5403267457530798e-03,3.3244410988878193e-04
19,2.0881711518172971e-02,2.1019970571527031e-03,4.1511054874113678e-03,4.9903731543297653e-03,4.5822566534125470e-03,3.1765198161422671e-03,1.5410684105292987e-03,3.3839093919502263e-04
20,2.0406638903640438e-02,2.0723991731490402e-03,4.0614121270594761e-03,4.8421375432573651e-03,4.4445975883445898e-03,3.1112846221245769e-03,1.5331633979195041e-03,3.4164445178588377e-04
21,1.9914318824860409e-02,2.0369507327720944e-03,3.9674790063063230e-03,4.6976872271438661e-03,4.3099898998961760e-03,3.0412877977793891e-03,1.5182955594587708e-03,3.4262860150379131e-04
22,1.9410680049444372e-02,1.9970595962959361e-03,3.8705541959722948e-03,4.5568285573236713e-03,4.1785876222932370e-03,2.9680139403438464e-03,1.4979067713733847e-03,3.4172936584199904e-04
23,1.8900578983668738e-02,1.9538619870353682e-03,3.7716761269488636e-03,4.4194305168627109e-03,4.0504704174454146e-03,2.8926374277453990e-03,1.4732135463096487e-03,3.3928896132133502e-04
24,1.8387976693747667e-02,1.9082752496284918e-03,3.6717056547618436e-03,4.2854066119229752e-03,3.9256704548931874e-03,2.8160837895083255e-03,1.4452301124817549e-03,3.3560482055109027e-04
25,1.7876087432214673e-02,1.8610399621208581e-03,3.5713532488306676e-03,4.1547001582249877e-03,3.8041893103371639e-03,2.7390794990642298e-03,1.4147937716335384e-03,3.3093148200322641e-04
26,1.7367503434697677e-02,1.8127535866523904e-03,3.4712021721400102e-03,4.0272729571213771e-03,3.6860085296276657e-03,2.6621920990690462e-03,1.3825899902232255e-03,3.2548409986396114e-04
27,1.6864299752404530e-02,1.7638974276312728e-03,3.3717282722489257e-03,3.9030969433907913e-03,3.5710962177741687e-03,2.5858623932212364e-03,1.3491757920694250e-03,3.1944270606871150e-04
28,1.6368122213448064e-02,1.7148582987164920e-03,3.2733168702424181e-03,3.7821482639183116e-03,3.4594111630157445e-03,2.5104302003908503e-03,1.3150007498158932e-03,3.1295666734835472e-04
29,1.5880261113024867e-02,1.6659459977966965e-03,3.1762771519223010e-03,3.6644032579647998e-03,3.3509054509341194e-03,2.4361549237168823e-03,1.2804253312291743e-03,3.0614899946089351e-04
30,1.5401712843285289e-02,1.6174074494152780e-03,3.0808544079563936e-03,3.5498358763161467e-03,3.2455261646910745e-03,2.3632319639488287e-03,1.2457366303853640e-03,2.9912035057220077e-04
31,1.4933231350768138e-02,1.5694381871337788e-03,2.9872404244537447e-03,3.4384161588858933e-03,3.1432165379807991e-03,2.2918058123308359e-03,1.2111616654053457e-03,2.9195256457774019e-04
32,1.4475371033486749e-02,1.5221917036128743e-03,2.8955822870624383e-03,3.3301094700096696e-03,3.0439167823272085e-03,2.2219804953820229e-03,1.1768784972913946e-03,2.8471179780114046e-04
33,1.4028522451194146e-02,1.4757870843659859e-03,2.8059898279016319e-03,3.2248762602523138e-03,2.9475647200484668e-03,2.1538279098690639e-03,1.1430254485828297e-03,2.7745120017385477e-04
34,1.3592942015322114e-02,1.4303152545779186e-03,2.7185419145036816e-03,3.1226721809808709e-03,2.8540962988547877e-03,2.0873944774538211e-03,1.1097086960451812e-03,2.7021319290585220e-04
35,1.3168776645766040e-02,1.3858441011186126e-03,2.6332917530524037e-03,3.0234484236899319e-03,2.7634460307744404e-03,2.0227064609566222e-03,1.0770084915220032e-03,2.6303138465202534e-04
