t,f_total,survival_before,survival_after
1,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
2,1.0249470664572091e-04,1.0000000000000000e+00,9.9989750529335431e-01
3,2.9833583207126368e-03,9.9989750529335431e-01,9.9691414697264191e-01
4,1.2465704155904409e-02,9.9691414697264191e-01,9.8444844281673749e-01
5,1.7041687335503888e-02,9.8444844281673749e-01,9.6740675548123345e-01
6,1.9684087722154679e-02,9.6740675548123345e-01,9.4772266775907865e-01
7,2.1150846898308668e-02,9.4772266775907865e-01,9.2657182086077028e-01
8,2.1966818658074025e-02,9.2657182086077028e-01,9.0460500220269624e-01
9,2.2381165579004235e-02,9.0460500220269624e-01,8.8222383662369208e-01
10,2.2533185499159197e-02,8.8222383662369208e-01,8.5969065112453280e-01
11,2.2504565258488023e-02,8.5969065112453280e-01,8.3718608586604493e-01
12,2.2347265084175460e-02,8.3718608586604493e-01,8.1483882078186953e-01
13,2.2096403931796314e-02,8.1483882078186953e-01,7.9274241685007329e-01
14,2.1776858333213377e-02,7.9274241685007329e-01,7.7096555851685999e-01
15,2.1406834233698203e-02,7.7096555851685999e-01,7.4955872428316184e-01
16,2.0999956413613970e-02,7.4955872428316184e-01,7.2855876786954787e-01
17,2.0566580052628292e-02,7.2855876786954787e-01,7.0799218781691953e-01
18,2.0114663939368026e-02,7.0799218781691953e-01,6.8787752387755163e-01
19,1.9650377983919463e-02,6.8787752387755163e-01,6.6822714589363208e-01
20,1.9178538965705257e-02,6.6822714589363208e-01,6.4904860692792699e-01
21,1.8702929547599514e-02,6.4904860692792699e-01,6.3034567738032754e-01
22,1.8226535079998159e-02,6.3034567738032754e-01,6.1211914230032938e-01
23,1.7751721117648629e-02,6.1211914230032938e-01,5.9436742118268082e-01
24,1.7280367517415181e-02,5.9436742118268082e-01,5.7708705366526569e-01
25,1.6813970418238743e-02,5.7708705366526569e-01,5.6027308324702685e-01
26,1.6353720300608724e-02,5.6027308324702685e-01,5.4391936294641818e-01
27,1.5900562139877880e-02,5.4391936294641818e-01,5.2801880080654029e-01
28,1.5455242097616090e-02,5.2801880080654029e-01,5.1256355870892434e-01
29,1.5018344049918917e-02,5.1256355870892434e-01,4.9754521465900542e-01
30,1.4590318409089593e-02,4.9754521465900542e-01,4.8295489624991583e-01
31,1.4171505072231087e-02,4.8295489624991583e-01,4.6878339117768475e-01
32,1.3762151868405344e-02,4.6878339117768475e-01,4.5502123930927951e-01
33,1.3362429532911226e-02,4.5502123930927951e-01,4.4165880977636829e-01
34,1.2972443982055637e-02,4.4165880977636829e-01,4.2868636579431263e-01
35,1.2592246471831822e-02,4.2868636579431263e-01,4.1609411932248086e-01
36,1.2221842082374226e-02,4.1609411932248086e-01,4.0387227724010666e-01
37,1.1861196864473237e-02,4.0387227724010666e-01,3.9201108037563348e-01
38,1.1510243905558807e-02,3.9201108037563348e-01,3.8050083647007460e-01
39,1.1168888513532186e-02,3.8050083647007460e-01,3.6933194795654245e-01
40,1.0837012672541228e-02,3.6933194795654245e-01,3.5849493528400123e-01
41,1.0514478891470972e-02,3.5849493528400123e-01,3.4798045639253039e-01
42,1.0201133540748445e-02,3.4798045639253039e-01,3.3777932285178192e-01
43,9.8968097539541989e-03,3.3777932285178192e-01,3.2788251309782773e-01
44,9.6013299561468323e-03,3.2788251309782773e-01,3.1828118314168086e-01
45,9.3145080695942149e-03,3.1828118314168086e-01,3.0896667507208669e-01
46,9.0361514389155663e-03,3.0896667507208669e-01,2.9993052363317119e-01
47,8.7660625108417142e-03,2.9993052363317119e-01,2.9116446112232947e-01
48,8.5040402984281338e-03,2.9116446112232947e-01,2.8266042082390136e-01
49,8.2498816552602043e-03,2.8266042082390136e-01,2.7441053916864117e-01
50,8.0033823817134489e-03,2.7441053916864117e-01,2.6640715678692772e-01
51,7.7643381824821613e-03,2.6640715678692772e-01,2.5864281860444560e-01
52,7.5325454922241675e-03,2.5864281860444560e-01,2.5111027311222145e-01
53,7.3078021841807544e-03,2.5111027311222145e-01,2.4380247092804069e-01
54,7.0899081749391246e-03,2.4380247092804069e-01,2.3671256275310160e-01
55,6.8786659370495707e-03,2.3671256275310160e-01,2.2983389681605201e-01
